inci_no,latitude,longtitude,inci_date,inci_address
LFD25-00000304,38.245448,-85.751491,2025-01-03,206 E BROADWAY
LFD24-00045837,38.257229,-85.718586,2024-12-28,1722 FRANKFORT Avenue
LFD24-00046028,38.18148,-85.766999,2024-12-30,306 W WOODLAWN Avenue
LFD24-00046201,38.192634,-85.801277,2024-12-31,3640 MANSLICK RD
LFD24-00045941,38.24535,-85.751302,2024-12-29,200 E BROADWAY
LFD25-00000305,38.255426,-85.664835,2025-01-03,310 MASONIC HOME Drive
LFD24-00046028,38.18148,-85.766999,2024-12-30,306 W WOODLAWN Avenue
LFD25-00000119,38.190555,-85.79968,2025-01-02,3700 W WHEATMORE Drive
LFD24-00046201,38.192634,-85.801277,2024-12-31,3640 MANSLICK RD
LFD25-00000305,38.255426,-85.664835,2025-01-03,310 MASONIC HOME Drive
LFD24-00046118,38.216484,-85.74977,2024-12-31,2117 BRADLEY Avenue
LFD25-00000119,38.190555,-85.79968,2025-01-02,3700 W WHEATMORE Drive
LFD24-00046028,38.18148,-85.766999,2024-12-30,306 W WOODLAWN Avenue
LFD25-00000306,38.213856,-85.666714,2025-01-03,I264W TO BARDSTOWN RD
LFD24-00045944,38.253856,-85.759396,2024-12-29,500 W JEFFERSON ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00045944,38.253856,-85.759396,2024-12-29,500 W JEFFERSON ST
LFD24-00046119,38.25487,-85.753537,2024-12-31,S 2ND ST and W MARKET ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00045843,38.194497,-85.57636,2024-12-28,3502 ST EDWARDS Drive
LFD25-00000310,38.249106,-85.749039,2025-01-03,ABRAHAM FLEXNER WAY and S FLOYD ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD25-00000123,38.216319,-85.702564,2025-01-02,2550 THOMAS MERTON Lane
LFD24-00045844,38.249566,-85.798277,2024-12-28,S 28TH ST and W BROADWAY
LFD24-00045947,38.182164,-85.768742,2024-12-29,4640 SOUTHERN PKY
LFD24-00046032,38.164949,-85.768743,2024-12-30,6305 S 3RD ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046203,38.232317,-85.7764,2024-12-31,1330 S 13TH ST
LFD24-00046205,38.243176,-85.745372,2024-12-31,510 E JACOB ST
LFD24-00046207,38.267348,-85.822233,2024-12-31,126 N 46TH ST
LFD24-00046210,38.254213,-85.8053,2024-12-31,S 32ND ST and RIVER PARK DR
LFD24-00046221,38.181508,-85.807507,2024-12-31,4314 LAHNNA Drive
LFD24-00046225,38.223709,-85.800173,2024-12-31,ALGONQUIN PKY and CYPRESS ST
LFD24-00046229,38.216245,-85.757814,2024-12-31,2210 S BROOK ST
LFD24-00046229,38.216245,-85.757814,2024-12-31,2210 S BROOK ST
LFD24-00046231,38.150792,-85.776352,2024-12-31,NEW CUT RD and PALATKA RD
LFD24-00046232,38.236752,-85.747261,2024-12-31,1016 S JACKSON ST
LFD24-00046232,38.236752,-85.747261,2024-12-31,1016 S JACKSON ST
LFD24-00046232,38.236752,-85.747261,2024-12-31,1016 S JACKSON ST
LFD24-00046233,38.245104,-85.781235,2024-12-31,1701 W BRECKINRIDGE ST
LFD24-00046234,38.237762,-85.748831,2024-12-31,S PRESTON ST and E KENTUCKY ST
LFD24-00046235,38.145815,-85.775258,2024-12-31,3RD STREET RD and NEW CUT RD
LFD24-00046236,38.250147,-85.745267,2024-12-31,409 E MUHAMMAD ALI Boulevard
LFD25-00000001,38.253335,-85.795587,2025-01-01,2625 W CHESTNUT ST
LFD25-00000001,38.253335,-85.795587,2025-01-01,2625 W CHESTNUT ST
LFD25-00000002,38.207944,-85.635179,2025-01-01,3014 VOGUE Avenue
LFD25-00000002,38.207944,-85.635179,2025-01-01,3014 VOGUE Avenue
LFD25-00000003,38.237015,-85.760457,2025-01-01,1114 S 4TH ST
LFD25-00000003,38.237015,-85.760457,2025-01-01,1114 S 4TH ST
LFD25-00000004,38.238154,-85.719598,2025-01-01,1125 BARDSTOWN RD
LFD25-00000004,38.238154,-85.719598,2025-01-01,1125 BARDSTOWN RD
LFD25-00000004,38.238154,-85.719598,2025-01-01,1125 BARDSTOWN RD
LFD25-00000004,38.238154,-85.719598,2025-01-01,1125 BARDSTOWN RD
LFD25-00000004,38.238154,-85.719598,2025-01-01,1125 BARDSTOWN RD
LFD25-00000006,38.256297,-85.751738,2025-01-01,101 W MAIN ST
LFD25-00000006,38.256297,-85.751738,2025-01-01,101 W MAIN ST
LFD25-00000008,38.22923,-85.819183,2025-01-01,1707 MAE STREET KIDD Avenue
LFD25-00000009,38.244269,-85.733954,2025-01-01,BARRET Avenue and E BROADWAY
LFD25-00000009,38.244269,-85.733954,2025-01-01,BARRET Avenue and E BROADWAY
LFD25-00000009,38.244269,-85.733954,2025-01-01,BARRET Avenue and E BROADWAY
LFD25-00000012,38.255532,-85.797222,2025-01-01,S 28TH ST and W MUHAMMAD ALI BLVD
LFD25-00000013,38.237015,-85.760457,2025-01-01,1114 S 4TH ST
LFD25-00000013,38.237015,-85.760457,2025-01-01,1114 S 4TH ST
LFD25-00000014,38.252965,-85.736018,2025-01-01,E MARKET ST and S CAMPBELL ST
LFD25-00000124,38.252633,-85.764761,2025-01-02,400 S 8TH ST
LFD24-00045948,38.234957,-85.734633,2024-12-29,1049 E ST CATHERINE ST
LFD25-00000124,38.252633,-85.764761,2025-01-02,400 S 8TH ST
LFD24-00045948,38.234957,-85.734633,2024-12-29,1049 E ST CATHERINE ST
LFD24-00046034,38.247838,-85.750801,2024-12-30,200 E CHESTNUT ST
LFD25-00000314,38.243176,-85.745372,2025-01-03,510 E JACOB ST
LFD25-00000315,38.243176,-85.745372,2025-01-03,510 E JACOB ST
LFD24-00046034,38.247838,-85.750801,2024-12-30,200 E CHESTNUT ST
LFD25-00000316,38.16246,-85.765897,2025-01-03,112 S ARBOR
LFD24-00046125,38.252633,-85.764761,2024-12-31,400 S 8TH ST
LFD25-00000221,38.20281,-85.689437,2025-01-02,1600 GARDINER Lane
LFD24-00045848,38.255988,-85.773842,2024-12-28,1407 W JEFFERSON ST
LFD25-00000221,38.20281,-85.689437,2025-01-02,1600 GARDINER Lane
LFD25-00000318,38.16676,-85.777018,2025-01-03,700 GHEENS Avenue
LFD24-00046125,38.252633,-85.764761,2024-12-31,400 S 8TH ST
LFD24-00046037,38.249448,-85.794878,2024-12-30,S 26TH ST and W BROADWAY
LFD25-00000319,38.24535,-85.751302,2025-01-03,200 E BROADWAY
LFD24-00046126,38.250147,-85.745267,2024-12-31,409 E MUHAMMAD ALI Boulevard
LFD25-00000130,38.181746,-85.781751,2025-01-02,1221 W WOODLAWN Avenue
LFD24-00045953,38.239931,-85.759862,2024-12-29,960 S 4TH ST
LFD25-00000223,38.237231,-85.758242,2025-01-02,W ST CATHERINE ST and S 3RD ST
LFD25-00000320,38.251375,-85.811915,2025-01-03,659 LINDELL Avenue
LFD24-00046127,38.225968,-85.650576,2024-12-31,CANNONS Lane and DUTCHMANS LN
LFD25-00000130,38.181746,-85.781751,2025-01-02,1221 W WOODLAWN Avenue
LFD24-00045953,38.239931,-85.759862,2024-12-29,960 S 4TH ST
LFD25-00000320,38.251375,-85.811915,2025-01-03,659 LINDELL Avenue
LFD24-00046128,38.245539,-85.701547,2024-12-31,GRINSTEAD Drive and LEXINGTON RD
LFD24-00045954,38.170666,-85.770023,2024-12-29,5337 MITSCHER Avenue
