X,Y,OBJECTID,LEVEL_,LOC_TYPE,LOC,SCH_NAME,ADDRESS,CITY,ST,ZIP,PHONE,SCH_AB,SCH_WEB
1208762.48625,276708.042500004,1,C,JCPS,165,BROWN SCHOOL,546 S 1ST ST,LOUISVILLE,KY,40202,485-8216,BROWN,https://www.jefferson.kyschools.us/schools/profiles/brown
1240036.125,259481.0625,2,C,JCPS,186,ESL NEWCOMER ACADEMY,3741 PULLIAM DR,LOUISVILLE,KY,40218,485-6324,NEWCOMER,https://www.jefferson.kyschools.us/schools/profiles/esl-newcomer-academy
1251270.09625,278159.543750003,3,C,JCPS,201,PHOENIX SCHOOL OF DISCOVERY,502 WOOD RD,LOUISVILLE,KY,40222,485-7700,PHOENIX,https://www.jefferson.kyschools.us/schools/profiles/phoenix-school-discovery
1241069.875,235948.172499999,4,S,JCPS,155,MOORE HIGH,6415 OUTER LOOP,LOUISVILLE,KY,40228,485-8304,MOORE TRAD,https://www.jefferson.kyschools.us/schools/profiles/moore-traditional
1196031.875,282315.375,5,E,JCPS,185,ATKINSON ELEMENTARY,2811 DUNCAN ST,LOUISVILLE,KY,40212,485-8203,ATKINSON,https://www.jefferson.kyschools.us/schools/profiles/atkinson-academy
1202945.875,234862.71875,6,E,JCPS,127,AUBURNDALE ELEMENTARY,5749 NEW CUT RD,LOUISVILLE,KY,40214,485-8204,AUBURNDALE,https://www.jefferson.kyschools.us/schools/profiles/auburndale
1214807.625,261290.5,7,E,JCPS,44,AUDUBON TRADITIONAL ELEM,1051 HESS LN,LOUISVILLE,KY,40217,485-8205,AUDUBON TRAD,https://www.jefferson.kyschools.us/schools/profiles/audubon
1258279.0,234803.875,8,E,JCPS,55,BATES ELEMENTARY,7601 BARDSTOWN RD,LOUISVILLE,KY,40291,485-8208,BATES,https://www.jefferson.kyschools.us/schools/profiles/bates
1225031.0,230258.703749999,9,E,JCPS,149,BLAKE ELEMENTARY,3801 BONAVENTURE BV,LOUISVILLE,KY,40219,485-8210,BLAKE,https://www.jefferson.kyschools.us/schools/profiles/blake
1218292.125,271647.28125,10,E,JCPS,225,BLOOM ELEMENTARY,1627 LUCIA AV,LOUISVILLE,KY,40204,485-8211,BLOOM,https://www.jefferson.kyschools.us/schools/profiles/bloom
1225708.0,224038.797499999,11,E,JCPS,91,BLUE LICK ELEMENTARY,9801 BLUE LICK RD,LOUISVILLE,KY,40229,485-8212,BLUE LICK ELEM,https://www.jefferson.kyschools.us/schools/profiles/blue-lick
1258133.125,283130.125,12,E,JCPS,94,BOWEN ELEMENTARY,1601 ROOSEVELT AV,LOUISVILLE,KY,40222,485-8213,BOWEN,https://www.jefferson.kyschools.us/schools/profiles/bowen
1195216.22499999,274794.422499999,13,E,JCPS,260,BRANDEIS ELEMENTARY,2817 W KENTUCKY ST,LOUISVILLE,KY,40211,485-8214,BRANDEIS,https://www.jefferson.kyschools.us/schools/profiles/brandeis
1217287.625,276330.125,14,E,JCPS,38,BRECKINRIDGE/FRANKLIN ELEM,1351 PAYNE ST,LOUISVILLE,KY,40206,485-8215,BRECKINRIDGE/FRANKLIN,https://www.jefferson.kyschools.us/schools/profiles/breckinridge-franklin
1198148.0,278888.65625,15,E,JCPS,243,BYCK ELEMENTARY,2328 CEDAR ST,LOUISVILLE,KY,40212,485-8221,BYCK,https://www.jefferson.kyschools.us/schools/profiles/byck
1218250.75,256989.234999999,16,E,JCPS,4,CAMP TAYLOR ELEMENTARY,1446 BELMAR DR,LOUISVILLE,KY,40213,485-8222,CAMP TAYLOR,https://www.jefferson.kyschools.us/schools/profiles/camp-taylor
1188728.875,262274.21875,17,E,JCPS,5,CANE RUN ELEMENTARY,3951 CANE RUN RD,LOUISVILLE,KY,40211,485-8223,CANE RUN,https://www.jefferson.kyschools.us/schools/profiles/cane-run
1190926.125,268978.5625,18,E,JCPS,680,CARTER TRADITIONAL ELEM,3600 BOHNE AV,LOUISVILLE,KY,40211,485-8225,CARTER,https://www.jefferson.kyschools.us/schools/profiles/carter
1168351.0,247138.359999999,19,H,JCPS,285,CENTER AT RIVERPORT,7401 RIVERPORT DR,LOUISVILLE,KY,40258,933-1849,CENTER AT RIVERPORT, 
1271645.25,296467.21875,20,E,JCPS,102,CHANCEY ELEMENTARY,4301 MURPHY LN,LOUISVILLE,KY,40241,485-8387,CHANCEY,https://www.jefferson.kyschools.us/schools/profiles/chancey
1232914.875,280930.65625,21,E,JCPS,46,CHENOWETH ELEMENTARY,3622 BROWNSBORO RD,LOUISVILLE,KY,40207,485-8227,CHENOWETH,https://www.jefferson.kyschools.us/schools/profiles/chenoweth
1205286.5,267484.6875,22,E,JCPS,323,COCHRAN ELEMENTARY,500 W GAULBERT AV,LOUISVILLE,KY,40208,485-8230,COCHRAN,https://www.jefferson.kyschools.us/schools/profiles/cochran
1259888.5,261303.984999999,23,E,JCPS,83,COCHRANE ELEMENTARY,2511 TREGARON AV,LOUISVILLE,KY,40299,485-8231,COCHRANE,https://www.jefferson.kyschools.us/schools/profiles/cochrane
1203906.25,277083.34375,24,E,JCPS,660,COLERIDGE TAYLOR MONTESSORI,1115 W CHESTNUT ST,LOUISVILLE,KY,40203,485-8232,COLERIDGE-TAYLOR,https://www.jefferson.kyschools.us/schools/profiles/coleridge-taylor
1211909.0,220148.78125,25,E,JCPS,60,CORAL RIDGE ELEMENTARY,10608 NATIONAL TP,LOUISVILLE,KY,40118,485-8234,CORAL RIDGE,https://www.jefferson.kyschools.us/schools/profiles/coral-ridge
